pop1,pop2,k1,k2
0,1424,-1.00,6.24
1300,0,7.22,-1.00
1103,0,8.42,-1.00
1122,0,5.44,-1.00
838,0,9.97,-1.00
0,788,-1.00,6.71
0,848,-1.00,7.39
0,698,-1.00,7.66
986,0,6.12,-1.00
1043,0,4.79,-1.00
0,619,-1.00,10.29
818,0,8.19,-1.00
1190,0,7.11,-1.00
0,680,-1.00,9.07
0,1140,-1.00,7.73
779,0,9.49,-1.00
1339,0,6.10,-1.00
856,0,7.58,-1.00
614,0,13.89,-1.00
631,0,9.48,-1.00
731,0,8.61,-1.00
0,700,-1.00,6.97
0,1113,-1.00,8.54
205,0,15.52,-1.00
0,809,-1.00,7.63
0,892,-1.00,13.66
0,650,-1.00,10.48
800,0,8.63,-1.00
0,0,-1.00,-1.00
889,0,8.33,-1.00
0,1048,-1.00,6.86
0,1041,-1.00,6.36
0,1174,-1.00,8.21
0,619,-1.00,9.49
932,0,8.49,-1.00
1252,0,7.75,-1.00
0,1058,-1.00,9.12
709,0,7.89,-1.00
0,1118,-1.00,7.41
0,1035,-1.00,8.00
0,1065,-1.00,12.37
0,933,-1.00,5.65
1087,0,6.56,-1.00
840,0,7.52,-1.00
0,0,-1.00,-1.00
875,0,4.85,-1.00
1213,0,7.49,-1.00
1207,0,9.01,-1.00
1053,0,6.35,-1.00
970,0,5.59,-1.00
0,877,-1.00,6.66
1492,0,6.19,-1.00
0,551,-1.00,12.45
745,0,13.62,-1.00
1313,0,6.67,-1.00
720,0,5.59,-1.00
894,0,6.28,-1.00
673,0,11.57,-1.00
759,0,7.93,-1.00
0,856,-1.00,12.54
773,0,6.47,-1.00
977,0,12.06,-1.00
0,984,-1.00,9.91
746,0,7.55,-1.00
1046,0,7.52,-1.00
0,741,-1.00,6.34
0,974,-1.00,11.47
962,0,6.03,-1.00
1025,0,10.06,-1.00
730,0,9.22,-1.00
570,0,14.33,-1.00
0,1153,-1.00,6.82
854,0,7.91,-1.00
0,1023,-1.00,7.34
0,844,-1.00,8.09
744,0,6.92,-1.00
1246,0,7.11,-1.00
732,0,7.79,-1.00
936,0,8.08,-1.00
0,537,-1.00,13.23
0,1498,-1.00,4.34
0,718,-1.00,10.92
0,1295,-1.00,8.53
0,966,-1.00,7.54
1166,0,7.27,-1.00
0,33,-1.00,17.82
854,0,10.17,-1.00
887,0,6.82,-1.00
732,0,6.09,-1.00
0,986,-1.00,10.51
864,0,6.35,-1.00
0,0,-1.00,-1.00
0,709,-1.00,11.81
877,0,8.95,-1.00
924,0,7.54,-1.00
815,0,6.42,-1.00
1045,0,7.66,-1.00
0,648,-1.00,10.38
0,813,-1.00,5.94
0,1147,-1.00,7.39
992,0,10.76,-1.00
0,690,-1.00,7.31
1252,0,7.87,-1.00
899,0,5.89,-1.00
0,747,-1.00,6.77
822,0,7.31,-1.00
1155,0,6.13,-1.00
0,884,-1.00,8.38
1250,0,6.47,-1.00
1173,0,11.05,-1.00
0,568,-1.00,11.75
1383,0,7.42,-1.00
939,0,6.98,-1.00
1200,0,5.35,-1.00
645,0,9.78,-1.00
0,0,-1.00,-1.00
0,851,-1.00,8.51
0,1037,-1.00,7.64
718,0,6.07,-1.00
1178,0,7.07,-1.00
1305,0,6.15,-1.00
